#{"t_start": 1695647713.2101433, "env_id": null}
r,l,t
64.950674,5,111977.690812
108.282044,5,112007.956674
119.212862,11,112072.930625
63.559597,6,112109.537859
125.186166,11,112175.795017
123.783971,11,112241.773111
124.453591,11,112306.803742
124.537112,11,112372.161715
122.049663,6,112409.369354
123.896106,11,112474.012963
76.331034,3,112492.121745
121.780274,11,112557.221549
78.75625,8,112606.770478
123.26325,11,112671.986741
126.023935,11,112737.936836
123.335364,11,112801.036146
123.110278,11,112867.971636
107.114068,5,112898.821442
124.421816,11,112963.516376
121.043345,6,113000.219057
120.952898,11,113065.387736
121.526,11,113128.988445
108.955798,5,113159.066255
134.86262,7,113201.525502
123.947548,11,113265.765803
122.06591,11,113331.417691
126.689788,11,113396.653472
125.926547,11,113462.555411
119.094477,11,113526.038173
123.25313,11,113590.288873
125.552627,11,113654.614315
124.910347,11,113719.237728
121.76387,11,113783.362768
121.921327,6,113820.243288
125.39252,11,113885.534867
117.591421,11,113950.196376
120.877808,11,114015.365954
96.733809,4,114040.265076
123.288002,11,114107.328429
123.775488,11,114173.081315
121.672242,11,114237.9295
124.710944,11,114302.962173
123.279202,11,114370.376924
118.358508,11,114434.492927
122.057009,11,114498.39309
120.268202,11,114562.674417
69.850008,2,114575.612806
140.605299,8,114623.746255
124.404833,11,114688.191156
147.537657,8,114736.088252
122.24658,11,114800.001036
122.167233,11,114864.829366
124.571637,11,114929.759414
111.476512,9,114983.644508
115.528189,11,115048.77189
123.645277,11,115113.637917
121.064892,11,115181.527303
101.020399,8,115229.489947
126.297253,11,115295.928823
132.879694,7,115338.420803
124.57547,11,115402.286378
125.972963,11,115468.855579
109.854572,10,115531.805223
124.910235,11,115597.358388
121.112022,11,115662.636067
128.260989,10,115722.868953
119.620712,11,115790.543479
122.881159,11,115856.078236
127.06005,11,115920.11965
124.401468,11,115984.539381
41.254623,5,116013.507414
119.734302,11,116078.2157
124.864272,11,116143.267708
123.049311,11,116207.166123
126.344887,10,116266.269409
123.834726,11,116332.232114
119.808167,11,116396.871918
124.622573,11,116463.232367
119.437856,11,116529.003195
118.4825,11,116593.817385
120.046698,11,116658.800654
123.291719,11,116723.765424
98.025102,9,116775.818111
160.65635,9,116829.630125
114.1403,11,116894.312307
147.087743,8,116942.478641
124.358168,11,117009.296319
100.759006,8,117057.679136
98.339728,9,117111.24497
119.628486,11,117176.634209
124.436698,11,117240.598558
109.151851,5,117271.560756
120.688687,6,117307.194418
148.341402,8,117354.359626
125.060959,11,117419.876925
125.283443,11,117484.291683
124.628719,11,117548.383655
54.881288,1,117555.927775
